Id,Name,DOB,lat,lon,favPlace,Age
S1001,Erick Barkley,1978-02-21 06:00:00.000000 +00:00,48.0517637,-122.1770818,Marysville,34
S1002,Walter Russell Mead,1952-06-12 06:00:00.000000 +00:00,33.7825194,-117.2286478,Perris,33
S1003,Emmet G Sullivan,1947-01-01 06:00:00.000000 +00:00,41.49932,-81.6943605,Cleveland,34
S1004,William H Ginsburg,1943-03-25 06:00:00.000000 +00:00,42.2625932,-71.8022934,Worcester,31
S1005,Julius Rudel,1921-03-06 06:00:00.000000 +00:00,34.0007104,-81.0348144,Columbia,28
S1006,Paul Gauguin,1848-06-07 06:00:00.000000 +00:00,41.5581525,-73.0514965,Waterbury,36
S1007,Ginia Bellafante,1965-03-31 06:00:00.000000 +00:00,44.8041322,-93.1668858,Eagan,20
S1008,Eli Wallach,1915-12-07 06:00:00.000000 +00:00,42.4733688,-83.2218731,Southfield,23
S1009,Virgo Teresa (Mother),1910-08-27 06:00:00.000000 +00:00,30.2240897,-92.0198427,Lafayette,21
S1010,Ian Bostridge,1964-12-25 06:00:00.000000 +00:00,43.6187102,-116.2146068,Boise City,32
S1011,Lynn Sherr,1942-03-04 06:00:00.000000 +00:00,41.6819935,-85.9766671,Elkhart,19
S1012,Gloria Trevi,1968-02-15 06:00:00.000000 +00:00,33.8675143,-117.9981181,Buena Park,33
S1013,Johan Santana,1979-03-13 06:00:00.000000 +00:00,33.952602,-84.5499327,Marietta,22
S1014,Judith S Kaye,1938-08-04 06:00:00.000000 +00:00,39.5186002,-104.7613633,Parker,21
S1015,Caroline Knapp,1959-11-08 06:00:00.000000 +00:00,26.7153424,-80.0533746,West Palm Beach,21
S1016,Ruud Lubbers,1939-05-07 06:00:00.000000 +00:00,42.51954,-70.8967155,Salem,32
S1017,Jerome Kerviel,1977-01-11 06:00:00.000000 +00:00,41.7605849,-88.3200715,Aurora,20
S1018,Jean Cocteau,1889-07-05 06:00:00.000000 +00:00,39.1156615,-77.5636015,Leesburg,31
S1019,Steven T Florio,1949-04-19 06:00:00.000000 +00:00,25.8195424,-80.3553302,Doral,22
S1020,Alice Waters,1944-04-28 06:00:00.000000 +00:00,33.7513419,-117.9939921,Westminster,24
S1021,Colin Farrell,1976-05-31 06:00:00.000000 +00:00,33.5778631,-101.8551665,Lubbock,19
S1022,Lanny J Davis,1945-12-12 06:00:00.000000 +00:00,38.9822282,-94.6707917,Overland Park,29
S1023,Florence Griffith Joyner,1959-12-21 06:00:00.000000 +00:00,32.2987573,-90.1848103,Jackson,34
S1024,Yevgeny M Primakov,1929-10-29 06:00:00.000000 +00:00,35.262082,-81.1873005,Gastonia,18
S1025,Harry Belafonte,1927-03-01 06:00:00.000000 +00:00,29.2108147,-81.0228331,Daytona Beach,37
S1026,Louis J Freeh,1950-01-06 06:00:00.000000 +00:00,39.0997265,-94.5785667,Kansas City,20
S1027,Jose Contreras,1971-12-06 06:00:00.000000 +00:00,33.7444613,-118.3870173,Rancho Palos Verdes,18
S1028,Vikram S Pandit,1957-01-14 06:00:00.000000 +00:00,44.7677424,-93.2777226,Burnsville,26
S1029,Jay Chiat,1931-10-25 06:00:00.000000 +00:00,32.9029017,-96.56388,Rowlett,29
S1030,Jean-Pierre Bemba,1962-11-04 06:00:00.000000 +00:00,33.3942655,-104.5230242,Roswell,34
S1031,Johannes Brahms,1833-05-07 06:00:00.000000 +00:00,32.3668052,-86.2999689,Montgomery,27
S1032,Gustav Mahler,1860-07-07 06:00:00.000000 +00:00,41.7369803,-111.8338359,Logan,33
S1033,Hussein Chalayan,1970-08-12 06:00:00.000000 +00:00,42.4792618,-71.1522765,Woburn,29
S1034,Frederick Barthelme,1943-10-10 06:00:00.000000 +00:00,40.6084305,-75.4901833,Allentown,28
S1035,Meryl Streep,1949-06-22 06:00:00.000000 +00:00,32.8323225,-79.8284258,Mount Pleasant,33
S1036,Robert W Pittman,1953-12-28 06:00:00.000000 +00:00,32.4609764,-84.9877094,Columbus,24
S1037,Stanley Marcus,1905-04-20 06:00:00.000000 +00:00,42.8864468,-78.8783689,Buffalo,19
S1038,George Armstrong Custer,1839-12-05 06:00:00.000000 +00:00,42.9764027,-88.1084224,New Berlin,36
S1039,Lydia Polgreen,1975-01-01 06:00:00.000000 +00:00,32.8342952,-97.2289029,North Richland Hills,30
S1040,Diego Maradona,1960-10-30 06:00:00.000000 +00:00,40.742551,-84.1052256,Lima,22
S1041,Jennifer Jason Leigh,1962-02-05 06:00:00.000000 +00:00,38.5815719,-121.4943996,Sacramento,34
